,index,Region,Entity,Annual CO2 emissions (per capita),Rank
1,1,Africa,Libya,9.242238,1.0
5,5,Africa,South Africa,6.7461643,2.0
4,4,Africa,Seychelles,6.1495123,3.0
0,0,Africa,Algeria,3.9272263,4.0
3,3,Africa,Saint Helena,3.2986484,5.0
2,2,Africa,Other,36.672683312,6.0
10,10,Asia,Qatar,37.601273,1.0
11,11,Asia,United Arab Emirates,25.833244,2.0
6,6,Asia,Bahrain,25.672274,3.0
8,8,Asia,Kuwait,25.578102,4.0
7,7,Asia,Brunei,23.950201,5.0
9,9,Asia,Other,213.37029035,6.0
13,13,Europe,Faroe Islands,14.084624,1.0
15,15,Europe,Luxembourg,11.618432,2.0
17,17,Europe,Russia,11.416899,3.0
14,14,Europe,Iceland,9.499798,4.0
12,12,Europe,Czechia,9.3357525,5.0
16,16,Europe,Other,198.3875048,6.0
22,22,North America,Trinidad and Tobago,22.423758,1.0
23,23,North America,United States,14.949616,2.0
21,21,North America,Sint Maarten (Dutch part),14.352394,3.0
18,18,North America,Canada,14.249212,4.0
19,19,North America,Greenland,10.473997,5.0
20,20,North America,Other,115.94806054,6.0
26,26,Oceania,New Caledonia,17.641167,1.0
24,24,Oceania,Australia,14.985412,2.0
29,29,Oceania,Palau,12.123921,3.0
27,27,Oceania,New Zealand,6.212154,4.0
25,25,Oceania,Nauru,4.1700416,5.0
28,28,Oceania,Other,25.34486066,6.0
34,34,South America,Suriname,5.8029985,1.0
32,32,South America,Guyana,4.3736935,2.0
31,31,South America,Chile,4.3041654,3.0
30,30,South America,Argentina,4.2378173,4.0
35,35,South America,Venezuela,2.7168686,5.0
33,33,South America,Other,13.662975099999999,6.0
